fecha,p10,p25,w_mean,w_median,p75,p90,p99
2022-06-01,50621,94162,217820,166623,255804,407065,1086468
2022-07-01,41587,73171,163731,120757,185498,296904,845194
2022-08-01,44775,79560,174078,133629,198377,311635,877248
2022-09-01,47363,84482,186646,142552,210448,333328,938451
2022-10-01,50000,87957,196635,145896,222751,361552,1005869
2022-11-01,52920,94652,211606,156486,241431,389815,1081153
2022-12-01,78811,144398,328004,247850,378772,600709,1644150
2023-01-01,59477,103919,250980,172643,276723,459457,1394396
2023-02-01,62670,109771,257551,182093,284957,460454,1414710
2023-03-01,66568,119827,287991,199849,306220,497629,1674649
2023-04-01,70999,127439,294691,218966,327485,526621,1582043
2023-05-01,79537,139429,311143,238733,354733,551598,1534056
2023-06-01,108436,203528,472859,360000,550073,875285,2422491
2023-07-01,90062,158101,364352,272002,414279,661700,1885648
2023-08-01,104650,188560,402930,313745,459790,702186,1981218
2023-09-01,119100,211198,447748,344826,505581,785613,2191226
2023-10-01,119996,217669,488551,367145,552433,900967,2478281
2023-11-01,130768,239536,543452,406491,613201,1004343,2718415
